character,freq,novel
Danny Danny Danny Dannneee Darkness,1,TheShining
Goody Twoshoes,1,TheShining
Frank Scoffy Gienelli,1,TheShining
Larry Durkin,1,TheShining
Franklin D Roosevelt,1,TheShining
Danny awayit,1,TheShining
David Roses,1,TheShining
Georges Adidas,1,TheShining
Danny shine,1,TheShining
Nevernevernever Scotty,1,TheShining
Winnifred Danny,1,TheShining
Al Wendy,1,TheShining
Lon Chaney,1,TheShining
Benjamin Moorer,1,TheShining
Torrance Watson,1,TheShining
Salud Jack,1,TheShining
Sylvia Pittston,8,TheGunslinger
Aunt Mill,4,TheGunslinger
Greta Shaw,3,TheGunslinger
Jake Chambers,2,TheGunslinger
Pappa Doc,2,TheGunslinger
Kennerly Kennerlys,2,TheGunslinger
Stephen King,2,TheGunslinger
John Chambers,1,TheGunslinger
Robert Browning,1,TheGunslinger
Tull Susan Aileen,1,TheGunslinger
Cuthbert Allen Thomas,1,TheGunslinger
Jake Whose,1,TheGunslinger
Charlie Weedeater,1,TheGunslinger
Amy Feldons,1,TheGunslinger
Jamie You,1,TheGunslinger
Cuthbert Cuthbert,1,TheGunslinger
Randolph Jamie de Curry,1,TheGunslinger
Goodbye Jake,1,TheGunslinger
Jamie Cuthbert Allen,1,TheGunslinger
Soobie Soobie,1,TheGunslinger
Aileen Susan Marten,1,TheGunslinger
Mine Allie,1,TheGunslinger
Jeremiah Gunslinger,1,TheGunslinger
Childe Roland,1,TheGunslinger
Cuthbert Jamie,1,TheGunslinger
Corts Roland,1,TheGunslinger
St Paul,1,TheGunslinger
Shadrach Meshach,1,TheGunslinger
Isaac The gunslinger,1,TheGunslinger
Roland Seven,1,TheGunslinger
David the falcon,1,TheGunslinger
Amy Feldon,1,TheGunslinger
Jake Take,1,TheGunslinger
Jake Its,1,TheGunslinger
Bath sheba,1,TheGunslinger
Jake The gunslinger,1,TheGunslinger
Starslut Whore,1,TheGunslinger
Ulysses Jake,1,TheGunslinger
David Lyons,1,TheGunslinger
Agatha Christies,1,TheGunslinger
Sylvia Pittstons,1,TheGunslinger
Jake Shhh,1,TheGunslinger
Danny Torrance,1,TheGunslinger
Roland Go,1,TheGunslinger
Roland Cuthbert,1,TheGunslinger
Tabitha Spruce,1,TheGunslinger
Jake Uhhuh,1,TheGunslinger
Hanged Man,1,TheGunslinger
Jake Merlin,1,TheGunslinger
Stephen King,54,TheDarkTower
John Cullum,27,TheDarkTower
Algul Siento,23,TheDarkTower
Ted Brautigan,22,TheDarkTower
Joe Collins,18,TheDarkTower
Bryan Smith,18,TheDarkTower
Eddie Dean,17,TheDarkTower
Stephen Kings,16,TheDarkTower
Jake Chambers,16,TheDarkTower
Calla Bryn Sturgis,14,TheDarkTower
Greta Shaw,14,TheDarkTower
Finli OTego,14,TheDarkTower
Pimli Prentiss,14,TheDarkTower
Dinky Earnshaw,13,TheDarkTower
Irene Tassenbaum,13,TheDarkTower
Pere Callahan,13,TheDarkTower
Moses Carver,12,TheDarkTower
Ho Fat II,12,TheDarkTower
Susannah Dean,11,TheDarkTower
Nancy Deepneau,11,TheDarkTower
Patrick Danville,9,TheDarkTower
sai King,9,TheDarkTower
Detta Walker,9,TheDarkTower
Sheemie Ruiz,9,TheDarkTower
Marian Carver,8,TheDarkTower
John Cullums,8,TheDarkTower
Roland Deschain,8,TheDarkTower
Aaron Deepneau,7,TheDarkTower
Susan Delgado,7,TheDarkTower
Dani Rostov,7,TheDarkTower
Paul Prentiss,7,TheDarkTower
Aye Roland,6,TheDarkTower
Eddie Roland,6,TheDarkTower
Arthur Eld,5,TheDarkTower
Jake Jake,5,TheDarkTower
Susannah Roland,5,TheDarkTower
Jack Andolini,5,TheDarkTower
Eddie Susannah,5,TheDarkTower
Patrick Patrick,5,TheDarkTower
Dick Beckhardts,5,TheDarkTower
Aaron Deepneaus,5,TheDarkTower
Walter o Dim,5,TheDarkTower
Turtleback Lane,5,TheDarkTower
Tammy Kelly,5,TheDarkTower
Bryan Smiths,4,TheDarkTower
James Cagney,4,TheDarkTower
Childe Roland,4,TheDarkTower
Stanley Ruiz,4,TheDarkTower
Roland Eddie,4,TheDarkTower
Cuthbert Allgood,4,TheDarkTower
Tanya Leeds,4,TheDarkTower
Keywadin Pond,4,TheDarkTower
Jim Jones,4,TheDarkTower
Joey Rastosovich,4,TheDarkTower
John Farson,4,TheDarkTower
Mordred Deschain,4,TheDarkTower
Cesar Romero,4,TheDarkTower
Austin Cornwell,4,TheDarkTower
